Model,Global_RMSE,RMSE_t1,RMSE_t2,RMSE_t3,RMSE_t4,RMSE_t5,RMSE_t6,RMSE_t7
msfv3_gdl03,0.10820125788450241,0.04746457247754869,0.07561610363553838,0.09579495566859962,0.11097885633941934,0.12273918372205073,0.13265921857497576,0.14080320163671908
msfv3_gdl01,0.10875413566827774,0.04758088513205451,0.07648382186902537,0.09675631672116179,0.11138826130103079,0.12315236535814345,0.13311868571975505,0.1415002382145915
msfv3_gdl07,0.10887020081281662,0.0465638998850138,0.07569343401924762,0.09610889557263125,0.11145334820002473,0.12399795591933134,0.13380122834780755,0.14189567700942163
msfv3_gdl05,0.10887225717306137,0.04686660730609954,0.0758474677019926,0.0962869892435113,0.11159208006870168,0.12389118010053855,0.1336575791181619,0.14172344383706334
msfv3_gdl10,0.10959837585687637,0.04645501734479844,0.07544859619658016,0.09626014482395362,0.11212947939018525,0.12466904801477129,0.1350429772000842,0.14357599656795098
msfv3_base03,0.10972663015127182,0.048879556348677154,0.07820876634523086,0.097810137863066,0.11200379455216466,0.12401160040402309,0.13399305885589652,0.14257945956858764
MAU,0.111862912774086,0.054009698626376924,0.08007648530922365,0.09961961171960147,0.11425014466466088,0.1265981754250069,0.1367001657650424,0.1434315722476605
ViT_GRU,0.11252021044492722,0.0570254164116901,0.08109259280525272,0.0999458214259711,0.1149342178646425,0.12682737329932894,0.13651014143832754,0.1444935104132679
predrnn,0.11501391232013702,0.05166086104929277,0.08145769486558982,0.10276576164971281,0.11815006176816144,0.13009293842225675,0.14024070008627015,0.1489339441163647
MIM,0.11543047428131104,0.05221097357600485,0.0820841839803236,0.10284167262218374,0.11854888855341755,0.13070688824754906,0.1407702714359178,0.14924758258415852
ConvLSTM,0.11858852207660675,0.05411855280366804,0.08403987360893346,0.10551605714284736,0.12162790342381868,0.13417282863841182,0.1446402029384076,0.15362617605933845
simvp_gsta,0.12188579887151718,0.08558056753392658,0.09849137782595095,0.11265996627534064,0.1227599684426869,0.13362031551092565,0.14022670874363655,0.14726915054682685
SimVP_INCEPU,0.13089154660701752,0.09744672631197276,0.1102431680469843,0.12248271587783578,0.13219127042760326,0.1405906461519253,0.1489468237022591,0.1544385708239505
