timestamp,exp_name,tag,epoch,is_best_val,model,tin,tout,ckpt_path,train_mse,train_rmse,train_mae,train_mape,train_r2,train_rmse_t,train_mae_t,val_mse,val_rmse,val_mae,val_mape,val_r2,val_rmse_t,val_mae_t,test_mse,test_rmse,test_mae,test_mape,test_r2,test_rmse_t,test_mae_t
,convlstm,epoch,0,1,ConvLSTM,14,7,./checkpoints/convlstm.pt,0.13823742627542704,0.31469723684729406,0.24024157915660677,101.89734791694804,0.8597719266693643,"(0.288113, 0.291827, 0.299866, 0.310500, 0.322571, 0.335329, 0.348256)","(0.216808, 0.220478, 0.227949, 0.237612, 0.248415, 0.259629, 0.270800)",0.03795041084023459,0.19259279168077878,0.14634451589414052,75.18193599155971,0.8453018963336945,"(0.168243, 0.170064, 0.177892, 0.188319, 0.199828, 0.211844, 0.224113)","(0.127196, 0.128286, 0.134672, 0.143431, 0.153201, 0.163493, 0.174133)",,,,,,,
,convlstm,epoch,1,1,ConvLSTM,14,7,./checkpoints/convlstm.pt,0.03223199096131832,0.17940128549890832,0.1360912978886924,77.29011476800797,0.9673405936423768,"(0.150660, 0.156242, 0.166500, 0.177549, 0.188403, 0.198882, 0.209202)","(0.113653, 0.118003, 0.126419, 0.135525, 0.144419, 0.153047, 0.161573)",0.03181267463202987,0.17771193491561071,0.1347425686461585,75.06205477033343,0.8725884833506176,"(0.146117, 0.152407, 0.163322, 0.175326, 0.187268, 0.198930, 0.210294)","(0.110212, 0.114988, 0.123859, 0.133806, 0.143774, 0.153509, 0.163050)",,,,,,,
,convlstm,epoch,2,1,ConvLSTM,14,7,./checkpoints/convlstm.pt,0.029768793041163935,0.17239255850443633,0.13092246088892856,76.13176033344675,0.9698702134984605,"(0.138683, 0.147233, 0.159495, 0.171551, 0.182740, 0.193296, 0.203480)","(0.104605, 0.111463, 0.121486, 0.131396, 0.140588, 0.149276, 0.157644)",0.029038976645097136,0.1683645277683224,0.12790292554668017,72.40227491515023,0.8877672169889722,"(0.133126, 0.141901, 0.154378, 0.166970, 0.178931, 0.190329, 0.201301)","(0.100323, 0.107465, 0.117710, 0.128068, 0.137944, 0.147354, 0.156458)",,,,,,,
,convlstm,epoch,3,1,ConvLSTM,14,7,./checkpoints/convlstm.pt,0.028453144621341787,0.16856449038181476,0.1280122868558194,75.14814965268398,0.9711236142097636,"(0.132249, 0.142364, 0.155737, 0.168167, 0.179526, 0.190130, 0.200367)","(0.099836, 0.107880, 0.118776, 0.128975, 0.138276, 0.146991, 0.155352)",0.02792157156259886,0.1649980859032699,0.12617438472807407,68.41287503923688,0.8877121976443699,"(0.126858, 0.137402, 0.150983, 0.164090, 0.176260, 0.187717, 0.198661)","(0.096109, 0.104738, 0.115980, 0.126887, 0.137051, 0.146624, 0.155832)",,,,,,,
,convlstm,epoch,4,1,ConvLSTM,14,7,./checkpoints/convlstm.pt,0.027001664805364735,0.1641985968507066,0.12458136146689983,74.30931925266347,0.9725793156218021,"(0.126326, 0.137802, 0.151889, 0.164525, 0.175644, 0.185770, 0.195424)","(0.095198, 0.104305, 0.115803, 0.126226, 0.135358, 0.143660, 0.151521)",0.02676174832907106,0.16163197505686963,0.12321988493204117,66.79981245313373,0.8933437317609787,"(0.121342, 0.133147, 0.147521, 0.160985, 0.173321, 0.184887, 0.195957)","(0.091631, 0.101212, 0.113103, 0.124292, 0.134574, 0.144216, 0.153512)",,,,,,,
,convlstm,epoch,5,1,ConvLSTM,14,7,./checkpoints/convlstm.pt,0.026231555416783753,0.1618448814024687,0.1226645262238193,73.44904438992764,0.9734020689700512,"(0.121893, 0.134841, 0.149624, 0.162477, 0.173675, 0.183898, 0.193534)","(0.091655, 0.101960, 0.114074, 0.124695, 0.133914, 0.142271, 0.150083)",0.026061590794207796,0.16044643095561437,0.12120183796754905,69.07739043235779,0.9028845301696232,"(0.117356, 0.130668, 0.146085, 0.160155, 0.172819, 0.184547, 0.195684)","(0.087739, 0.098366, 0.111062, 0.122736, 0.133293, 0.143009, 0.152208)",,,,,,,
,convlstm,epoch,6,1,ConvLSTM,14,7,./checkpoints/convlstm.pt,0.025966907544259694,0.1610089878289693,0.1220060674513274,73.01728666589615,0.9736686516949471,"(0.118421, 0.132824, 0.148525, 0.161916, 0.173431, 0.183838, 0.193786)","(0.088913, 0.100404, 0.113333, 0.124429, 0.133909, 0.142475, 0.150580)",0.025116865689467107,0.15752280982477324,0.11825308789099966,67.8035272870745,0.9051810822316578,"(0.113718, 0.128111, 0.143891, 0.157816, 0.170085, 0.181288, 0.191829)","(0.084543, 0.095973, 0.108876, 0.120300, 0.130400, 0.139556, 0.148123)",,,,,,,
,convlstm,epoch,7,1,ConvLSTM,14,7,./checkpoints/convlstm.pt,0.025177180578813275,0.1585494452391222,0.11986016279997978,72.23574843305222,0.9744666507269474,"(0.114852, 0.130475, 0.146657, 0.160017, 0.171223, 0.181238, 0.190738)","(0.085915, 0.098418, 0.111725, 0.122793, 0.132013, 0.140203, 0.147954)",0.024645682391045347,0.1553177290729114,0.11786869487592153,65.69019314220974,0.9039597873176847,"(0.109670, 0.125486, 0.141840, 0.155886, 0.168161, 0.179370, 0.189930)","(0.081922, 0.094819, 0.108514, 0.120295, 0.130629, 0.140021, 0.148881)",,,,,,,
,convlstm,epoch,8,1,ConvLSTM,14,7,./checkpoints/convlstm.pt,0.024775382309676484,0.15730125992926366,0.11869871842258788,71.71654392810578,0.974894642195803,"(0.111460, 0.128677, 0.145564, 0.159123, 0.170409, 0.180438, 0.189819)","(0.082987, 0.096849, 0.110824, 0.122049, 0.131360, 0.139569, 0.147253)",0.024251856009608934,0.15418238831417902,0.1160856873861381,65.46188599722726,0.9078563068594251,"(0.106661, 0.123879, 0.140802, 0.155011, 0.167324, 0.178579, 0.189259)","(0.079052, 0.093012, 0.107086, 0.118852, 0.129055, 0.138353, 0.147191)",,,,,,,
,convlstm,epoch,9,1,ConvLSTM,14,7,./checkpoints/convlstm.pt,0.025079082866060608,0.15820839993356267,0.11939625481658793,71.54695945090435,0.9745251929506342,"(0.109479, 0.128161, 0.145966, 0.160114, 0.171926, 0.182351, 0.192200)","(0.081558, 0.096578, 0.111310, 0.123045, 0.132745, 0.141254, 0.149283)",0.0238722027944667,0.15305953047105245,0.1151509556387152,69.21248085158211,0.9099697428090232,"(0.105889, 0.123729, 0.140861, 0.154814, 0.166453, 0.176679, 0.186037)","(0.078605, 0.092944, 0.107071, 0.118539, 0.128140, 0.136552, 0.144206)",,,,,,,
