exp_name,tag,epoch,is_best_val,model,tin,tout,ckpt_path,train_mse,train_rmse,train_mae,train_mape,train_r2,train_rmse_t,train_mae_t,val_mse,val_rmse,val_mae,val_mape,val_r2,val_rmse_t,val_mae_t,test_mse,test_rmse,test_mae,test_mape,test_r2,test_rmse_t,test_mae_t
predrnn,epoch,0,1,PredRNN,14,7,./checkpoints/predrnn.pt,0.11923251015708801,0.2963287491779793,0.21731420352737954,90.02707572693521,0.8789649301386894,"(0.279728, 0.280303, 0.284850, 0.291905, 0.300639, 0.310787, 0.322277)","(0.200505, 0.202393, 0.207538, 0.214464, 0.222613, 0.231780, 0.241905)",0.03472937513808055,0.1843701010303838,0.13928291680557386,75.93289262907845,0.8704735594136375,"(0.163165, 0.165924, 0.172849, 0.181228, 0.190313, 0.200179, 0.211200)","(0.122469, 0.124878, 0.130596, 0.137400, 0.144752, 0.152841, 0.162045)",,,,,,,
predrnn,epoch,1,1,PredRNN,14,7,./checkpoints/predrnn.pt,0.03286529290787083,0.18114410131884526,0.13680368328982212,78.60615714052891,0.9667084857504419,"(0.155008, 0.160807, 0.169863, 0.179433, 0.188973, 0.198568, 0.208573)","(0.115579, 0.120672, 0.128343, 0.136345, 0.144226, 0.152115, 0.160346)",0.0302438019508762,0.17281843455774443,0.13116547944290297,75.59298423358372,0.8872516410691398,"(0.143901, 0.150698, 0.160606, 0.171011, 0.181353, 0.191661, 0.202124)","(0.108069, 0.113693, 0.121912, 0.130543, 0.139174, 0.147882, 0.156886)",,,,,,,
predrnn,epoch,2,1,PredRNN,14,7,./checkpoints/predrnn.pt,0.02983545705160879,0.1725932524424496,0.13095196705073753,77.02243668982324,0.9698133085002291,"(0.141310, 0.149952, 0.160974, 0.171734, 0.181973, 0.191856, 0.201590)","(0.105961, 0.113215, 0.122412, 0.131328, 0.139781, 0.147932, 0.156034)",0.02837584387244923,0.1665773019194603,0.12646916881203651,71.97446319035122,0.8911326336009162,"(0.133392, 0.142622, 0.154139, 0.165497, 0.176371, 0.186849, 0.197033)","(0.100343, 0.107941, 0.117351, 0.126634, 0.135625, 0.144394, 0.152997)",,,,,,,
predrnn,epoch,3,1,PredRNN,14,7,./checkpoints/predrnn.pt,0.028510591035035063,0.1687220180702584,0.12814094050926098,75.64126373859162,0.971061942742226,"(0.133778, 0.144559, 0.157095, 0.168571, 0.179124, 0.189040, 0.198693)","(0.100662, 0.109454, 0.119743, 0.129182, 0.137845, 0.146065, 0.154034)",0.02763750670211656,0.16429078818431922,0.12512413359114102,68.4485354082925,0.8913719419922147,"(0.125756, 0.137389, 0.150650, 0.163186, 0.175067, 0.186689, 0.198260)","(0.094761, 0.104444, 0.115447, 0.125776, 0.135561, 0.145151, 0.154729)",,,,,,,
predrnn,epoch,4,1,PredRNN,14,7,./checkpoints/predrnn.pt,0.026771686228111068,0.16350323858075105,0.1239269225600552,74.05590793934275,0.9728109570259743,"(0.126291, 0.138788, 0.152311, 0.164131, 0.174531, 0.184052, 0.193279)","(0.094788, 0.104867, 0.115971, 0.125731, 0.134290, 0.142131, 0.149711)",0.026676850326891457,0.16102769545146398,0.12253745059881892,69.75809918131147,0.8968300755534854,"(0.120831, 0.133953, 0.148249, 0.161173, 0.172765, 0.183407, 0.193384)","(0.090969, 0.101736, 0.113567, 0.124221, 0.133796, 0.142591, 0.150882)",,,,,,,
predrnn,epoch,5,1,PredRNN,14,7,./checkpoints/predrnn.pt,0.0257381277773133,0.1603113297367993,0.12139786629283682,72.43755170132252,0.9739059609301547,"(0.120593, 0.134716, 0.149129, 0.161327, 0.171876, 0.181528, 0.190670)","(0.090412, 0.101746, 0.113604, 0.123691, 0.132378, 0.140254, 0.147699)",0.024898258902664696,0.15660079941153526,0.11869035208863872,67.27261059624809,0.9043717341763633,"(0.114954, 0.129093, 0.143826, 0.156835, 0.168449, 0.179217, 0.189485)","(0.086002, 0.097450, 0.109703, 0.120550, 0.130244, 0.139183, 0.147700)",,,,,,,
predrnn,epoch,6,0,PredRNN,14,7,./checkpoints/predrnn.pt,0.025138200032821995,0.1584327950092624,0.11992992262573952,71.30777046528269,0.974510353930453,"(0.116052, 0.131699, 0.147103, 0.159909, 0.170712, 0.180352, 0.189537)","(0.086962, 0.099466, 0.112165, 0.122770, 0.131620, 0.139517, 0.147010)",0.02484031144662627,0.15675668391798223,0.11784368088202817,68.95417485918317,0.9039442517927715,"(0.112481, 0.127897, 0.143804, 0.157645, 0.169605, 0.180201, 0.189945)","(0.083749, 0.095868, 0.108875, 0.120305, 0.130215, 0.138950, 0.146943)",,,,,,,
predrnn,epoch,7,1,PredRNN,14,7,./checkpoints/predrnn.pt,0.02414994245949895,0.15528796779704807,0.11730301332600573,70.04401200882931,0.9755131900310516,"(0.111460, 0.128348, 0.144358, 0.157257, 0.167936, 0.177302, 0.186047)","(0.083214, 0.096720, 0.109944, 0.120640, 0.129392, 0.137036, 0.144176)",0.02388252773588257,0.15303141650344645,0.11528921233756202,64.38187415259225,0.908455144081797,"(0.106744, 0.123745, 0.140112, 0.153848, 0.165830, 0.176817, 0.187254)","(0.079238, 0.092973, 0.106581, 0.117955, 0.127863, 0.136905, 0.145510)",,,,,,,
predrnn,epoch,8,1,PredRNN,14,7,./checkpoints/predrnn.pt,0.023620316897459488,0.15360006879814755,0.1157891683756037,69.29477756581407,0.9760657672552352,"(0.107894, 0.126307, 0.142986, 0.156014, 0.166660, 0.175864, 0.184362)","(0.080237, 0.094993, 0.108818, 0.119598, 0.128332, 0.135826, 0.142720)",0.022947625755997642,0.15010337584785052,0.11263572637523923,64.46899502617973,0.9118859533752713,"(0.103762, 0.121640, 0.138164, 0.151686, 0.163111, 0.173230, 0.182603)","(0.076718, 0.090998, 0.104648, 0.115818, 0.125293, 0.133639, 0.141335)",,,,,,,
predrnn,epoch,9,0,PredRNN,14,7,./checkpoints/predrnn.pt,0.023484391061232446,0.15314010964042218,0.11543334862019153,68.85296669412166,0.9761552832862164,"(0.105628, 0.125318, 0.142608, 0.155831, 0.166589, 0.175799, 0.184211)","(0.078478, 0.094245, 0.108619, 0.119611, 0.128430, 0.135902, 0.142750)",0.023104421395276274,0.15087158605456352,0.11308098584413528,67.31917411940438,0.9113712374653135,"(0.102492, 0.121479, 0.139052, 0.153307, 0.164862, 0.174513, 0.183001)","(0.075709, 0.090792, 0.105311, 0.117092, 0.126641, 0.134570, 0.141453)",,,,,,,
