exp_name,tag,epoch,is_best_val,model,tin,tout,ckpt_path,d_model,depth,num_heads,spatial_scales,train_mse,train_rmse,train_mae,train_mape,train_r2,train_rmse_t,train_mae_t,val_mse,val_rmse,val_mae,val_mape,val_r2,val_rmse_t,val_mae_t,test_mse,test_rmse,test_mae,test_mape,test_r2,test_rmse_t,test_mae_t
msfgv3_base1,epoch,0,1,MSFG2v3,14,7,./checkpoints/msfgv3_base1.pt,128,4,4,"(4, 8, 16)",0.18160417644267388,0.3461717567190024,0.2578339118193439,104.86785377340114,0.8152916085846881,"(0.308205, 0.330051, 0.340635, 0.352148, 0.358265, 0.360692, 0.365618)","(0.224484, 0.241641, 0.254175, 0.263507, 0.269238, 0.274154, 0.277638)",0.030715483839490583,0.17232343501278333,0.12932431458362512,78.50707851137433,0.8994960274015155,"(0.126973, 0.147010, 0.160684, 0.174573, 0.184554, 0.193818, 0.204043)","(0.094989, 0.110463, 0.121457, 0.132671, 0.140708, 0.148380, 0.156602)",,,,,,,
msfgv3_base1,epoch,1,1,MSFG2v3,14,7,./checkpoints/msfgv3_base1.pt,128,4,4,"(4, 8, 16)",0.027687950822663433,0.16628880510819863,0.12547559176195175,78.59060741992707,0.9719590842723846,"(0.120097, 0.141191, 0.156067, 0.169484, 0.179106, 0.187671, 0.196848)","(0.089695, 0.106269, 0.118564, 0.129624, 0.137510, 0.144583, 0.152083)",0.027009672452030436,0.16254880838096142,0.12224870334778513,75.80813108171735,0.9067576421158654,"(0.118871, 0.137950, 0.152030, 0.165215, 0.174928, 0.182494, 0.192637)","(0.088968, 0.103642, 0.115174, 0.125888, 0.133894, 0.140125, 0.148050)",,,,,,,
msfgv3_base1,epoch,2,1,MSFG2v3,14,7,./checkpoints/msfgv3_base1.pt,128,4,4,"(4, 8, 16)",0.02517447041030577,0.15855374375621228,0.12014525300486291,75.1565168461901,0.9745339545163703,"(0.112021, 0.133522, 0.149108, 0.162023, 0.171774, 0.179387, 0.188038)","(0.084614, 0.101378, 0.114054, 0.124520, 0.132402, 0.138582, 0.145467)",0.024846952840951935,0.15595543597425734,0.11849763217781271,67.92060198102679,0.9084089462246213,"(0.110051, 0.130801, 0.145488, 0.158493, 0.169234, 0.176966, 0.185963)","(0.083739, 0.100116, 0.111647, 0.122065, 0.130896, 0.137063, 0.143958)",,,,,,,
msfgv3_base1,epoch,3,1,MSFG2v3,14,7,./checkpoints/msfgv3_base1.pt,128,4,4,"(4, 8, 16)",0.023079504011238507,0.15180503154301514,0.11454185470938683,70.37688425753979,0.9765819821586,"(0.101914, 0.126012, 0.142755, 0.155538, 0.165483, 0.173233, 0.181688)","(0.076656, 0.095400, 0.108983, 0.119370, 0.127374, 0.133653, 0.140358)",0.022942969974662577,0.14990110482488359,0.11326816944139344,65.33692302022662,0.9140830529587609,"(0.099186, 0.123124, 0.139470, 0.153177, 0.163672, 0.171965, 0.181210)","(0.074580, 0.093328, 0.106540, 0.117866, 0.126517, 0.133356, 0.140690)",,,,,,,
msfgv3_base1,epoch,4,1,MSFG2v3,14,7,./checkpoints/msfgv3_base1.pt,128,4,4,"(4, 8, 16)",0.022247722451674178,0.1490105410746703,0.11226058993092243,68.62792842946153,0.9774092125131729,"(0.096481, 0.122632, 0.140286, 0.153232, 0.162938, 0.170933, 0.179107)","(0.072582, 0.092800, 0.107048, 0.117613, 0.125436, 0.131884, 0.138461)",0.02132988371886313,0.144633770521198,0.10841552194740091,64.39612882477897,0.918504638331277,"(0.091847, 0.117617, 0.134785, 0.148206, 0.158377, 0.166737, 0.176073)","(0.068480, 0.088390, 0.102452, 0.113525, 0.121693, 0.128494, 0.135875)",,,,,,,
msfgv3_base1,epoch,5,0,MSFG2v3,14,7,./checkpoints/msfgv3_base1.pt,128,4,4,"(4, 8, 16)",0.021281439979421966,0.145773382334479,0.1093989397854881,66.8658494543522,0.9784178131438316,"(0.090611, 0.119251, 0.137265, 0.150274, 0.160057, 0.168066, 0.175942)","(0.067578, 0.089906, 0.104540, 0.115225, 0.123132, 0.129544, 0.135868)",0.022269289109057615,0.14837191892521723,0.11087488436273166,69.25579101698739,0.9153604315859931,"(0.089845, 0.118934, 0.137697, 0.152868, 0.163761, 0.172955, 0.180661)","(0.066417, 0.088955, 0.104408, 0.117029, 0.125974, 0.133554, 0.139786)",,,,,,,
msfgv3_base1,epoch,6,1,MSFG2v3,14,7,./checkpoints/msfgv3_base1.pt,128,4,4,"(4, 8, 16)",0.021152631290494762,0.1453523522623106,0.10904935973280287,66.39342480517448,0.9785478222877422,"(0.088738, 0.118606, 0.137047, 0.150146, 0.160010, 0.167980, 0.175286)","(0.066118, 0.089382, 0.104415, 0.115167, 0.123154, 0.129600, 0.135510)",0.02097136001767857,0.1433585938066244,0.10858105016606194,64.17256825310844,0.9191345466034753,"(0.089461, 0.116179, 0.134284, 0.147596, 0.157242, 0.165747, 0.173813)","(0.068847, 0.088758, 0.103514, 0.114195, 0.121687, 0.128389, 0.134677)",,,,,,,
msfgv3_base1,epoch,7,1,MSFG2v3,14,7,./checkpoints/msfgv3_base1.pt,128,4,4,"(4, 8, 16)",0.020481233049104822,0.14300230547999973,0.10696018396064322,65.33141870701567,0.9792345277172454,"(0.085588, 0.116311, 0.135060, 0.147991, 0.157672, 0.165544, 0.172646)","(0.063213, 0.087343, 0.102706, 0.113321, 0.121199, 0.127583, 0.133357)",0.0203039847713496,0.1410331345562424,0.10619551395731312,61.47909818376814,0.9198693186044693,"(0.084659, 0.112780, 0.130969, 0.144646, 0.155687, 0.164558, 0.172742)","(0.064034, 0.085173, 0.099955, 0.111290, 0.120485, 0.127877, 0.134555)",,,,,,,
msfgv3_base1,epoch,8,1,MSFG2v3,14,7,./checkpoints/msfgv3_base1.pt,128,4,4,"(4, 8, 16)",0.020182771469525834,0.14198848426727106,0.10609124256099792,64.93123275675673,0.979550043002088,"(0.084439, 0.115552, 0.134382, 0.147073, 0.156684, 0.164403, 0.171162)","(0.062141, 0.086583, 0.102119, 0.112565, 0.120410, 0.126669, 0.132152)",0.019891281811786548,0.13961104330207622,0.1047225504049233,61.258163928985596,0.9209296703338623,"(0.081914, 0.112143, 0.130379, 0.143752, 0.154281, 0.163000, 0.170304)","(0.060825, 0.084589, 0.099502, 0.110494, 0.119134, 0.126321, 0.132191)",,,,,,,
msfgv3_base1,epoch,9,0,MSFG2v3,14,7,./checkpoints/msfgv3_base1.pt,128,4,4,"(4, 8, 16)",0.020353102898027036,0.14258095255322453,0.10658653052721886,65.16344348420488,0.9793414866670649,"(0.084814, 0.115963, 0.134887, 0.147689, 0.157369, 0.165155, 0.171827)","(0.062532, 0.086940, 0.102569, 0.113089, 0.120945, 0.127271, 0.132760)",0.02063103675443147,0.14264509002012865,0.10685917548835278,65.88803683008466,0.9191672589097705,"(0.092338, 0.117653, 0.133744, 0.146267, 0.156154, 0.164193, 0.171201)","(0.069635, 0.087915, 0.101064, 0.111378, 0.119510, 0.126316, 0.132196)",,,,,,,
