exp_name,tag,epoch,is_best_val,model,tin,tout,ckpt_path,d_model,depth,num_heads,spatial_scales,train_mse,train_rmse,train_mae,train_mape,train_r2,train_rmse_t,train_mae_t,val_mse,val_rmse,val_mae,val_mape,val_r2,val_rmse_t,val_mae_t,test_mse,test_rmse,test_mae,test_mape,test_r2,test_rmse_t,test_mae_t
msfv3_base3,epoch,0,1,MSFv3,14,7,./checkpoints/msfv3_base3.pt,128,4,4,"(4, 8, 16)",0.18000051364342265,0.34592982549138346,0.2643183830412144,129.35962185961134,0.8168289892851038,"(0.310438, 0.328018, 0.345027, 0.351484, 0.355566, 0.358733, 0.365914)","(0.235931, 0.248647, 0.263889, 0.268128, 0.273677, 0.277559, 0.282397)",0.03133320572253849,0.17463825722890242,0.13387960860771791,79.79822138377598,0.8925895797354835,"(0.133525, 0.150851, 0.163634, 0.177075, 0.186671, 0.193914, 0.204956)","(0.102903, 0.116041, 0.126182, 0.137118, 0.145066, 0.150474, 0.159373)",,,,,,,
msfv3_base3,epoch,1,1,MSFv3,14,7,./checkpoints/msfv3_base3.pt,128,4,4,"(4, 8, 16)",0.027761937703620246,0.1665039092183286,0.1267410118846183,80.04684156052609,0.971879963862135,"(0.121829, 0.141720, 0.156422, 0.169692, 0.179239, 0.187328, 0.196401)","(0.092766, 0.107971, 0.119824, 0.130756, 0.138577, 0.145022, 0.152270)",0.026517542943890606,0.16093703572239196,0.12252134270966053,74.72967086519513,0.9066376558371952,"(0.117168, 0.136222, 0.150223, 0.163570, 0.173748, 0.181237, 0.190779)","(0.089372, 0.103852, 0.115420, 0.126156, 0.134587, 0.140364, 0.147898)",,,,,,,
msfv3_base3,epoch,2,1,MSFv3,14,7,./checkpoints/msfv3_base3.pt,128,4,4,"(4, 8, 16)",0.024899538953174302,0.15767848606710755,0.1197335707776724,75.95322878817295,0.9748121978754692,"(0.110765, 0.132461, 0.148179, 0.161209, 0.170960, 0.178796, 0.187123)","(0.084215, 0.100878, 0.113569, 0.124143, 0.132065, 0.138312, 0.144952)",0.02469871549068817,0.1553316374442407,0.11842478359384197,70.47313186100551,0.9095829533679145,"(0.109281, 0.129706, 0.145337, 0.158677, 0.168978, 0.176024, 0.184572)","(0.083730, 0.099415, 0.112147, 0.122774, 0.131139, 0.136576, 0.143193)",,,,,,,
msfv3_base3,epoch,3,1,MSFv3,14,7,./checkpoints/msfv3_base3.pt,128,4,4,"(4, 8, 16)",0.023128817511841336,0.15197520905974207,0.11501432642182137,72.09390684898864,0.9765362622255974,"(0.102332, 0.126132, 0.142925, 0.155851, 0.165739, 0.173406, 0.181566)","(0.077545, 0.095844, 0.109414, 0.119885, 0.127893, 0.134019, 0.140500)",0.02334181036401008,0.15111998255763734,0.11474364357335227,66.95488258770534,0.9144472117934909,"(0.100770, 0.124377, 0.140694, 0.154390, 0.165472, 0.173225, 0.181760)","(0.076368, 0.094662, 0.108099, 0.119278, 0.128414, 0.134805, 0.141579)",,,,,,,
msfv3_base3,epoch,4,1,MSFv3,14,7,./checkpoints/msfv3_base3.pt,128,4,4,"(4, 8, 16)",0.02215113527478373,0.14870729733907687,0.11227777382319278,69.47634329694382,0.9775070221500194,"(0.097027, 0.122682, 0.140065, 0.152988, 0.162606, 0.170336, 0.178271)","(0.073312, 0.093015, 0.107063, 0.117571, 0.125396, 0.131595, 0.137992)",0.02148607060579317,0.14512210419135435,0.10925038957170077,65.32500515665326,0.9188202576977866,"(0.094522, 0.119150, 0.135464, 0.148742, 0.158878, 0.166519, 0.175202)","(0.070929, 0.089971, 0.103175, 0.114211, 0.122429, 0.128565, 0.135473)",,,,,,,
msfv3_base3,epoch,5,0,MSFv3,14,7,./checkpoints/msfv3_base3.pt,128,4,4,"(4, 8, 16)",0.02121037136802965,0.1455277581980256,0.10954131764617372,67.49222653977414,0.9784937649965286,"(0.092201, 0.119642, 0.137327, 0.150093, 0.159564, 0.167153, 0.174855)","(0.069188, 0.090400, 0.104805, 0.115242, 0.122979, 0.129000, 0.135175)",0.022237969928288033,0.14817725494503975,0.11151682958006859,69.95753216743469,0.916114553809166,"(0.093208, 0.119013, 0.137868, 0.152297, 0.163783, 0.171324, 0.179690)","(0.070018, 0.089530, 0.104969, 0.117032, 0.126578, 0.132773, 0.139717)",,,,,,,
msfv3_base3,epoch,6,1,MSFv3,14,7,./checkpoints/msfv3_base3.pt,128,4,4,"(4, 8, 16)",0.021064869564105856,0.14504882634783986,0.1091046393551725,66.79392248518924,0.9786390709750196,"(0.090184, 0.118863, 0.136986, 0.149894, 0.159389, 0.167124, 0.174270)","(0.067554, 0.089724, 0.104556, 0.115113, 0.122856, 0.129082, 0.134847)",0.021063281322962472,0.1435965940888439,0.10855623254818576,63.920779023851665,0.9197614065238408,"(0.088191, 0.116053, 0.133665, 0.147498, 0.158693, 0.165792, 0.175124)","(0.066681, 0.088319, 0.102790, 0.114161, 0.123275, 0.128591, 0.136077)",,,,,,,
msfv3_base3,epoch,7,1,MSFv3,14,7,./checkpoints/msfv3_base3.pt,128,4,4,"(4, 8, 16)",0.02031816486665543,0.1424313685941338,0.10676797186123564,65.5282582627966,0.9794008031170419,"(0.086269, 0.116439, 0.134746, 0.147482, 0.156799, 0.164378, 0.171509)","(0.063987, 0.087598, 0.102643, 0.113090, 0.120688, 0.126780, 0.132589)",0.020051108307338188,0.140097760196243,0.10577511521322387,61.484165975025725,0.921385401061603,"(0.085916, 0.113374, 0.130680, 0.143945, 0.154316, 0.162526, 0.170319)","(0.065126, 0.085947, 0.100050, 0.110800, 0.119484, 0.126335, 0.132684)",,,,,,,
msfv3_base3,epoch,8,1,MSFv3,14,7,./checkpoints/msfv3_base3.pt,128,4,4,"(4, 8, 16)",0.01995929633762608,0.14120024545770984,0.10569598105676631,64.83406588371764,0.9797778963408572,"(0.084791, 0.115575, 0.133892, 0.146403, 0.155569, 0.163029, 0.169702)","(0.062569, 0.086738, 0.101900, 0.112192, 0.119688, 0.125697, 0.131088)",0.019729499705135822,0.13897360169461795,0.10436278262308665,60.957291671207976,0.9223449634654182,"(0.081701, 0.111864, 0.129984, 0.143614, 0.153519, 0.161816, 0.169103)","(0.060357, 0.084202, 0.099350, 0.110680, 0.118742, 0.125664, 0.131545)",,,,,,,
msfv3_base3,epoch,9,0,MSFv3,14,7,./checkpoints/msfv3_base3.pt,128,4,4,"(4, 8, 16)",0.0200888441400008,0.14165325361167083,0.1060384314982815,64.98004738827969,0.9796099906906168,"(0.084637, 0.115680, 0.134276, 0.146895, 0.156221, 0.163746, 0.170297)","(0.062476, 0.086825, 0.102242, 0.112613, 0.120198, 0.126274, 0.131641)",0.019923721639705554,0.1400043232632535,0.1047040160213198,63.790113823754446,0.9223897222961698,"(0.086205, 0.112866, 0.130686, 0.143683, 0.154698, 0.162633, 0.169716)","(0.064104, 0.084225, 0.099035, 0.109816, 0.118759, 0.125505, 0.131484)",,,,,,,
