exp_name,tag,epoch,is_best_val,model,tin,tout,ckpt_path,d_model,depth,num_heads,spatial_scales,decoder_refine_mode,decoder_refine_hidden,decoder_refine_depth,train_mse,train_rmse,train_mae,train_mape,train_r2,train_rmse_t,train_mae_t,val_mse,val_rmse,val_mae,val_mape,val_r2,val_rmse_t,val_mae_t,test_mse,test_rmse,test_mae,test_mape,test_r2,test_rmse_t,test_mae_t
msfv3_conv_base03,epoch,0,1,MSFv3Conv,14,7,./checkpoints/msfv3_conv_base03.pt,128,4,4,"(2, 4, 8, 16)",residual,8,5,0.12169657768483491,0.2830838925393382,0.2144067573579068,114.86215790281905,0.8762368471064466,"(0.232215, 0.267765, 0.273405, 0.278787, 0.291643, 0.306387, 0.317745)","(0.173609, 0.202644, 0.207338, 0.212541, 0.223411, 0.236186, 0.245117)",0.0275078204327396,0.16363986714610032,0.12347792142203876,72.50615314074925,0.9013676196336746,"(0.103120, 0.134482, 0.150691, 0.166438, 0.177153, 0.189475, 0.202007)","(0.077985, 0.102744, 0.115374, 0.128064, 0.136475, 0.146887, 0.156818)",,,,,,,
msfv3_conv_base03,epoch,1,1,MSFv3Conv,14,7,./checkpoints/msfv3_conv_base03.pt,128,4,4,"(2, 4, 8, 16)",residual,8,5,0.02541231140098039,0.15929126667089852,0.1192260891833204,73.40646049824167,0.9742490015131362,"(0.097265, 0.128546, 0.147736, 0.162816, 0.174134, 0.185140, 0.196485)","(0.072207, 0.096752, 0.112217, 0.124749, 0.133852, 0.142834, 0.151972)",0.023959368633638536,0.15337288885244302,0.114780029548066,68.3757290499551,0.9124598226376942,"(0.093833, 0.124537, 0.141103, 0.156426, 0.167241, 0.178321, 0.189815)","(0.069652, 0.093657, 0.107252, 0.119760, 0.128553, 0.137858, 0.146729)",,,,,,,
msfv3_conv_base03,epoch,2,1,MSFv3Conv,14,7,./checkpoints/msfv3_conv_base03.pt,128,4,4,"(2, 4, 8, 16)",residual,8,5,0.023136100870497684,0.15197011450554507,0.11361732857024416,70.87504435600118,0.9765967209922507,"(0.090774, 0.121944, 0.141556, 0.156006, 0.166954, 0.176966, 0.186844)","(0.067531, 0.091750, 0.107709, 0.119475, 0.128321, 0.136326, 0.144208)",0.022170630183869174,0.14729451627603599,0.11032483034900256,65.33123067447117,0.9163131628717694,"(0.088089, 0.117913, 0.136002, 0.150552, 0.161470, 0.172016, 0.182351)","(0.065579, 0.088774, 0.103791, 0.115664, 0.124389, 0.133010, 0.141066)",,,,,,,
msfv3_conv_base03,epoch,3,1,MSFv3Conv,14,7,./checkpoints/msfv3_conv_base03.pt,128,4,4,"(2, 4, 8, 16)",residual,8,5,0.021946107146349994,0.14801506949491766,0.1106889720689109,69.06232953578868,0.977726105045765,"(0.087901, 0.118867, 0.138606, 0.152183, 0.162958, 0.172324, 0.181121)","(0.065390, 0.089355, 0.105520, 0.116557, 0.125312, 0.132835, 0.139855)",0.021575666797746505,0.14537616526441915,0.10895782709121704,64.13716741970607,0.9184270139251437,"(0.084635, 0.115235, 0.134316, 0.148523, 0.160219, 0.171034, 0.179826)","(0.062887, 0.086916, 0.102634, 0.114146, 0.123758, 0.132736, 0.139629)",,,,,,,
msfv3_conv_base03,epoch,4,1,MSFv3Conv,14,7,./checkpoints/msfv3_conv_base03.pt,128,4,4,"(2, 4, 8, 16)",residual,8,5,0.021235041538293056,0.14561359737563562,0.10883005252702439,67.39467537656743,0.9784325801945747,"(0.085575, 0.117088, 0.137014, 0.150130, 0.160505, 0.169553, 0.177454)","(0.063343, 0.087870, 0.104278, 0.114976, 0.123439, 0.130763, 0.137141)",0.02043859477687095,0.1415354912834508,0.1054140462407044,63.546221596854075,0.9216660878487996,"(0.081816, 0.112418, 0.131542, 0.145076, 0.156105, 0.165799, 0.174744)","(0.060249, 0.084122, 0.099848, 0.110906, 0.119945, 0.127831, 0.134997)",,,,,,,
msfv3_conv_base03,epoch,5,0,MSFv3Conv,14,7,./checkpoints/msfv3_conv_base03.pt,128,4,4,"(2, 4, 8, 16)",residual,8,5,0.020727857769011183,0.14385054719868967,0.10736793545173838,66.16736988311118,0.9789802457423921,"(0.083194, 0.115746, 0.135752, 0.148624, 0.158826, 0.167531, 0.175065)","(0.061059, 0.086672, 0.103284, 0.113882, 0.122201, 0.129195, 0.135282)",0.022091752882780775,0.1478308934186186,0.11066973821393081,70.45159350122724,0.915348761848041,"(0.085867, 0.115433, 0.136621, 0.151255, 0.163829, 0.175084, 0.181826)","(0.063982, 0.086387, 0.103946, 0.116157, 0.126678, 0.136077, 0.141460)",,,,,,,
msfv3_conv_base03,epoch,6,0,MSFv3Conv,14,7,./checkpoints/msfv3_conv_base03.pt,128,4,4,"(2, 4, 8, 16)",residual,8,5,0.02055078509085356,0.14325967930531194,0.106832941994071,65.46190679834244,0.9791596607959017,"(0.081923, 0.114951, 0.135205, 0.148439, 0.158662, 0.166968, 0.174059)","(0.059793, 0.085945, 0.102826, 0.113761, 0.122106, 0.128823, 0.134577)",0.020612638543492982,0.14189342569027627,0.10613712615200452,62.98702447754996,0.9213005942957742,"(0.080049, 0.112147, 0.130517, 0.144679, 0.156057, 0.167174, 0.177599)","(0.059329, 0.084556, 0.099587, 0.111251, 0.120466, 0.129567, 0.138203)",,,,,,,
msfv3_conv_base03,epoch,7,1,MSFv3Conv,14,7,./checkpoints/msfv3_conv_base03.pt,128,4,4,"(2, 4, 8, 16)",residual,8,5,0.020060644445425654,0.1415234782131985,0.10530112057607224,64.54281200246608,0.9796625283804345,"(0.079752, 0.113455, 0.133696, 0.146793, 0.156764, 0.165056, 0.172176)","(0.057630, 0.084638, 0.101557, 0.112398, 0.120530, 0.127272, 0.133082)",0.019574369569974288,0.13848164837275231,0.10303929155426365,61.12305307388306,0.9237177648714611,"(0.076603, 0.109433, 0.128593, 0.142490, 0.153439, 0.163040, 0.171138)","(0.055605, 0.081785, 0.097721, 0.109021, 0.118157, 0.126196, 0.132791)",,,,,,,
msfv3_conv_base03,epoch,8,0,MSFv3Conv,14,7,./checkpoints/msfv3_conv_base03.pt,128,4,4,"(2, 4, 8, 16)",residual,8,5,0.01981903560102937,0.14069524835660094,0.1046641855797869,64.08411650962017,0.9799181343393123,"(0.079347, 0.113239, 0.133239, 0.146108, 0.155869, 0.163787, 0.170716)","(0.057164, 0.084406, 0.101184, 0.111871, 0.119858, 0.126269, 0.131897)",0.01994941563212446,0.13968798704445362,0.10458213543253285,61.099824701036724,0.9207024765866143,"(0.076879, 0.110587, 0.129591, 0.144628, 0.154260, 0.164404, 0.172525)","(0.056071, 0.083437, 0.099106, 0.111714, 0.119281, 0.127908, 0.134559)",,,,,,,
msfv3_conv_base03,epoch,9,0,MSFv3Conv,14,7,./checkpoints/msfv3_conv_base03.pt,128,4,4,"(2, 4, 8, 16)",residual,8,5,0.019883644777013265,0.14093383017371983,0.10484870130869936,64.2030020774679,0.9798209464296381,"(0.079216, 0.113248, 0.133359, 0.146424, 0.156274, 0.164210, 0.170966)","(0.057103, 0.084453, 0.101320, 0.112153, 0.120165, 0.126609, 0.132139)",0.01961841307846563,0.13887391266013896,0.10302140936255455,62.3623309816633,0.9241467118263245,"(0.077680, 0.109664, 0.128663, 0.142590, 0.154709, 0.163137, 0.171382)","(0.055853, 0.081219, 0.097352, 0.108901, 0.118845, 0.126020, 0.132960)",,,,,,,
